Sample,X,Y,Z
69,-0.1110839844,0.0000000000,0.8720703125
70,-0.1098632812,-0.0012207031,0.8793945312
71,-0.1120605469,0.0007324219,0.8842773438
72,-0.1123046875,0.0083007812,0.8811035156
73,-0.1101074219,-0.0019531250,0.8754882812
74,-0.1110839844,0.0021972656,0.8691406250
75,-0.1101074219,-0.0031738281,0.8747558594
76,-0.1137695312,-0.0021972656,0.8798828125
77,-0.1142578125,-0.0041503906,0.8774414062
78,-0.1066894531,-0.0009765625,0.8759765625
79,-0.1147460938,0.0024414062,0.8691406250
80,-0.1149902344,0.0019531250,0.8764648438
81,-0.1059570312,0.0046386719,0.8723144531
82,-0.1127929688,0.0002441406,0.8776855469
83,-0.1149902344,-0.0021972656,0.8781738281
84,-0.1181640625,-0.0024414062,0.8750000000
85,-0.1083984375,0.0034179688,0.8750000000
86,-0.1140136719,0.0009765625,0.8752441406
87,-0.1079101562,0.0021972656,0.8691406250
88,-0.1130371094,0.0024414062,0.8762207031
89,-0.1093750000,0.0002441406,0.8752441406
90,-0.1169433594,0.0029296875,0.8715820312
91,-0.1142578125,-0.0031738281,0.8701171875
92,-0.1137695312,0.0017089844,0.8759765625
93,-0.1130371094,0.0034179688,0.8715820312
94,-0.1140136719,0.0026855469,0.8764648438
95,-0.1113281250,0.0034179688,0.8752441406
96,-0.1208496094,-0.0021972656,0.8742675781
97,-0.1120605469,-0.0002441406,0.8767089844
98,-0.1125488281,0.0041503906,0.8781738281
99,-0.1096191406,-0.0046386719,0.8764648438
100,-0.1101074219,0.0017089844,0.8747558594
101,-0.1171875000,-0.0009765625,0.8728027344
102,-0.1137695312,0.0012207031,0.8793945312
103,-0.1159667969,0.0048828125,0.8701171875
104,-0.1108398438,-0.0017089844,0.8764648438
105,-0.1113281250,0.0009765625,0.8684082031
106,-0.1108398438,-0.0014648438,0.8789062500
107,-0.1105957031,0.0002441406,0.8723144531
108,-0.1127929688,-0.0002441406,0.8737792969
109,-0.1132812500,-0.0004882812,0.8825683594
110,-0.1113281250,0.0021972656,0.8693847656
111,-0.1125488281,0.0039062500,0.8735351562
112,-0.1110839844,0.0036621094,0.8779296875
113,-0.1069335938,-0.0048828125,0.8723144531
114,-0.1108398438,0.0029296875,0.8747558594
115,-0.1062011719,-0.0002441406,0.8789062500
116,-0.1115722656,-0.0009765625,0.8715820312
117,-0.1198730469,-0.0021972656,0.8666992188
118,-0.1213378906,0.0031738281,0.8701171875
119,-0.1198730469,0.0014648438,0.8740234375
120,-0.1154785156,-0.0041503906,0.8732910156
121,-0.1115722656,0.0002441406,0.8742675781
122,-0.1101074219,0.0080566406,0.8825683594
123,-0.1125488281,-0.0004882812,0.8781738281
124,-0.1171875000,-0.0012207031,0.8693847656
125,-0.1213378906,-0.0007324219,0.8664550781
126,-0.1159667969,0.0107421875,0.8674316406
127,-0.1108398438,-0.0004882812,0.8754882812
128,-0.1015625000,0.0041503906,0.8793945312
129,-0.1176757812,-0.0046386719,0.8828125000
130,-0.1154785156,0.0012207031,0.8747558594
131,-0.1157226562,0.0012207031,0.8679199219
132,-0.1169433594,-0.0002441406,0.8759765625
133,-0.1115722656,0.0053710938,0.8781738281
134,-0.1135253906,-0.0007324219,0.8706054688
135,-0.1132812500,0.0031738281,0.8742675781
136,-0.1115722656,-0.0002441406,0.8823242188
137,-0.1181640625,-0.0039062500,0.8769531250
138,-0.1130371094,-0.0007324219,0.8762207031
139,-0.1135253906,-0.0034179688,0.8737792969
140,-0.1110839844,0.0014648438,0.8735351562
141,-0.1171875000,0.0031738281,0.8828125000
142,-0.1096191406,0.0068359375,0.8703613281
143,-0.1103515625,-0.0017089844,0.8740234375
144,-0.1098632812,-0.0012207031,0.8784179688
145,-0.1152343750,0.0036621094,0.8762207031
146,-0.1062011719,-0.0009765625,0.8850097656
147,-0.1135253906,-0.0046386719,0.8759765625
148,-0.1137695312,0.0026855469,0.8823242188
149,-0.1110839844,0.0014648438,0.8759765625
150,-0.1140136719,-0.0017089844,0.8732910156
151,-0.1083984375,0.0004882812,0.8762207031
152,-0.1093750000,-0.0026855469,0.8708496094
153,-0.1191406250,-0.0053710938,0.8652343750
154,-0.1110839844,-0.0002441406,0.8784179688
155,-0.1142578125,-0.0017089844,0.8728027344
156,-0.1127929688,0.0041503906,0.8723144531
157,-0.1171875000,0.0073242188,0.8837890625
158,-0.1022949219,0.0004882812,0.8730468750
159,-0.1069335938,0.0034179688,0.8774414062
160,-0.1083984375,-0.0034179688,0.8654785156
161,-0.1137695312,-0.0004882812,0.8820800781
162,-0.1152343750,-0.0007324219,0.8757324219
163,-0.1208496094,-0.0063476562,0.8679199219
164,-0.1164550781,0.0041503906,0.8635253906
165,-0.1186523438,0.0012207031,0.8671875000
166,-0.1152343750,0.0029296875,0.8779296875
167,-0.1206054688,0.0051269531,0.8706054688
168,-0.1108398438,-0.0058593750,0.8764648438
169,-0.1147460938,0.0065917969,0.8706054688
170,-0.1201171875,0.0031738281,0.8698730469
171,-0.1157226562,0.0029296875,0.8654785156
172,-0.1171875000,0.0026855469,0.8771972656
173,-0.1149902344,0.0051269531,0.8781738281
174,-0.1091308594,0.0029296875,0.8759765625
175,-0.1184082031,0.0051269531,0.8759765625
176,-0.1083984375,0.0053710938,0.8759765625
177,-0.1137695312,-0.0012207031,0.8732910156
178,-0.1208496094,0.0056152344,0.8776855469
179,-0.1091308594,-0.0048828125,0.8752441406
180,-0.1027832031,0.0017089844,0.8693847656
181,-0.1074218750,0.0024414062,0.8693847656
182,-0.1157226562,0.0148925781,0.8762207031
183,-0.1127929688,-0.0002441406,0.8803710938
184,-0.1074218750,-0.0048828125,0.8710937500
185,-0.1054687500,0.0021972656,0.8771972656
186,-0.1091308594,0.0046386719,0.8764648438
