Sample,X,Y,Z
258,-0.1140136719,0.0051269531,0.8791503906
264,-0.1130371094,0.0073242188,0.8723144531
265,-0.1157226562,0.0014648438,0.8706054688
276,-0.1127929688,0.0004882812,0.8730468750
277,-0.1149902344,0.0122070312,0.8789062500
288,-0.1113281250,0.0021972656,0.8767089844
294,-0.1130371094,0.0012207031,0.8801269531
295,-0.1130371094,0.0070800781,0.8740234375
306,-0.1091308594,0.0031738281,0.8742675781
307,-0.1120605469,0.0051269531,0.8754882812
318,-0.1123046875,0.0034179688,0.8728027344
319,-0.1113281250,0.0063476562,0.8720703125
330,-0.1091308594,0.0051269531,0.8771972656
336,-0.1164550781,0.0014648438,0.8759765625
337,-0.1142578125,0.0004882812,0.8745117188
348,-0.1115722656,0.0048828125,0.8676757812
349,-0.1103515625,0.0085449219,0.8762207031
360,-0.1113281250,-0.0019531250,0.8681640625
366,-0.1105957031,0.0034179688,0.8708496094
367,-0.1015625000,0.0036621094,0.8781738281
378,-0.1088867188,0.0048828125,0.8798828125
379,-0.1137695312,0.0024414062,0.8762207031
390,-0.1103515625,0.0036621094,0.8774414062
396,-0.1052246094,0.0068359375,0.8762207031
397,-0.1176757812,0.0036621094,0.8815917969
408,-0.1081542969,0.0031738281,0.8681640625
409,-0.1062011719,0.0075683594,0.8740234375
420,-0.1074218750,0.0053710938,0.8669433594
421,-0.1137695312,-0.0019531250,0.8876953125
432,-0.1081542969,0.0061035156,0.8815917969
438,-0.1081542969,0.0092773438,0.8674316406
439,-0.1145019531,0.0085449219,0.8725585938
450,-0.1079101562,0.0014648438,0.8720703125
451,-0.1115722656,0.0014648438,0.8847656250
462,-0.1164550781,-0.0021972656,0.8789062500
468,-0.1120605469,-0.0012207031,0.8750000000
469,-0.1115722656,0.0070800781,0.8718261719
480,-0.1113281250,0.0061035156,0.8684082031
481,-0.1130371094,0.0058593750,0.8823242188
492,-0.1154785156,0.0046386719,0.8706054688
498,-0.1064453125,0.0036621094,0.8759765625
