Sample,X,Y,Z
90,0.3928222656,0.0239257812,0.8088378906
91,0.4023437500,0.0180664062,0.8181152344
92,0.3979492188,0.0219726562,0.8232421875
93,0.4018554688,0.0197753906,0.8164062500
94,0.3972167969,0.0251464844,0.8098144531
95,0.3969726562,0.0239257812,0.8146972656
96,0.3989257812,0.0202636719,0.8056640625
97,0.3957519531,0.0266113281,0.8110351562
98,0.3979492188,0.0283203125,0.8149414062
99,0.4008789062,0.0202636719,0.8095703125
100,0.4011230469,0.0207519531,0.8134765625
101,0.4008789062,0.0258789062,0.8200683594
102,0.4055175781,0.0273437500,0.8203125000
103,0.4023437500,0.0249023438,0.8146972656
104,0.4038085938,0.0231933594,0.8171386719
105,0.3972167969,0.0234375000,0.8176269531
106,0.3979492188,0.0249023438,0.8188476562
107,0.4006347656,0.0222167969,0.8122558594
108,0.3994140625,0.0280761719,0.8095703125
109,0.4008789062,0.0212402344,0.8056640625
110,0.4003906250,0.0244140625,0.8107910156
111,0.3991699219,0.0219726562,0.8049316406
112,0.4052734375,0.0288085938,0.8022460938
113,0.4045410156,0.0227050781,0.8103027344
114,0.4038085938,0.0217285156,0.8059082031
115,0.3957519531,0.0231933594,0.8146972656
116,0.3981933594,0.0256347656,0.8117675781
117,0.4047851562,0.0322265625,0.8149414062
118,0.4023437500,0.0256347656,0.8146972656
119,0.3974609375,0.0292968750,0.8105468750
120,0.4008789062,0.0278320312,0.8249511719
121,0.4008789062,0.0253906250,0.8159179688
122,0.3950195312,0.0258789062,0.8137207031
123,0.3977050781,0.0261230469,0.8098144531
124,0.4013671875,0.0246582031,0.8105468750
125,0.3979492188,0.0244140625,0.8103027344
126,0.4025878906,0.0280761719,0.8051757812
127,0.4003906250,0.0253906250,0.8183593750
128,0.4030761719,0.0214843750,0.8166503906
129,0.4006347656,0.0251464844,0.8107910156
130,0.4023437500,0.0263671875,0.8205566406
131,0.3989257812,0.0249023438,0.8139648438
132,0.4077148438,0.0310058594,0.8068847656
133,0.4023437500,0.0275878906,0.8076171875
134,0.4030761719,0.0263671875,0.8146972656
135,0.4042968750,0.0270996094,0.8168945312
136,0.4011230469,0.0292968750,0.8149414062
137,0.3967285156,0.0256347656,0.8208007812
138,0.3979492188,0.0273437500,0.8261718750
139,0.3999023438,0.0236816406,0.8144531250
140,0.4018554688,0.0283203125,0.8188476562
141,0.3964843750,0.0195312500,0.8232421875
142,0.3947753906,0.0190429688,0.8156738281
143,0.4001464844,0.0207519531,0.8127441406
144,0.4006347656,0.0231933594,0.8078613281
